,Population Forecast,yhat_lower,yhat_upper,Type,Region,Year
29,986304.2957636729,983162.9216027118,989310.9078333711,Forecast,Актюбинская,2025
30,1001158.1101521527,997307.5630058721,1004996.9965709095,Forecast,Актюбинская,2026
31,1016011.9245406328,1011279.6287461494,1020966.2962950352,Forecast,Актюбинская,2027
32,2063668.509073,1831660.361296635,2274585.0246501933,Historical,Алматинская,2013
33,2032006.0046952672,1814225.5602358137,2250467.7313532443,Historical,Алматинская,2014
34,2000343.5001851358,1764020.431641275,2219487.0721740727,Historical,Алматинская,2015
35,1968680.9956365677,1741811.3806089852,2205681.9116957337,Historical,Алматинская,2016
36,1936931.744565558,1712390.7528093248,2164718.306878486,Historical,Алматинская,2017
37,1905269.2400864675,1691172.3559576457,2141342.6566930036,Historical,Алматинская,2018
38,1873606.7355552875,1672221.2639152803,2096577.0329009572,Historical,Алматинская,2019
39,1841942.9087153834,1608128.7336909992,2059717.9577259037,Historical,Алматинская,2020
40,1810192.3317607497,1595984.9496020456,2023360.252001586,Historical,Алматинская,2021
41,1778528.505016375,1563591.3189682323,2010207.771402002,Historical,Алматинская,2022
42,1746864.678272,1541326.8023061284,1980529.2180261505,Historical,Алматинская,2023
43,1715287.6017378836,1481325.5463857083,1919254.6764242281,Forecast,Алматинская,2023
44,1683537.0247832502,1464711.2444597376,1900767.044537269,Forecast,Алматинская,2024
45,1651873.1980388751,1416337.0722615437,1879622.2725401106,Forecast,Алматинская,2025
46,1620209.3712945003,1403445.2813274441,1848059.7697337144,Forecast,Алматинская,2026
47,1588545.5445501255,1375338.1512280395,1815724.7114785754,Forecast,Алматинская,2027
48,1471169.987196,1448144.2624819719,1493714.770810463,Historical,Алматы,2013
49,1542267.3341046392,1519834.5645348388,1566109.6144587055,Historical,Алматы,2014
50,1613364.680466206,1590617.7622481354,1637962.9414807355,Historical,Алматы,2015
51,1684414.062560397,1660416.7785191378,1708779.6521990611,Historical,Алматы,2016
52,1744750.4007194368,1721334.9592911694,1767227.3296782593,Historical,Алматы,2017
53,1804921.88306081,1779919.591163505,1828125.237955207,Historical,Алматы,2018
54,1865093.3656674218,1841411.825828624,1889673.426003626,Historical,Алматы,2019
55,1925383.6050110024,1902938.981617634,1949959.3238376966,Historical,Алматы,2020
56,2002800.5039365399,1980226.2454983229,2025864.8843575844,Historical,Алматы,2021
57,2080005.8812803132,2056365.9049072277,2103771.843150331,Historical,Алматы,2022
58,2157211.258624087,2134416.795235651,2179547.9319842625,Historical,Алматы,2023
59,2234205.1143860966,2210488.181738807,2258082.5786434277,Forecast,Алматы,2023
60,2311622.0133116343,2285963.7001474425,2335688.0015403912,Forecast,Алматы,2024
61,2388827.390655408,2360411.15136073,2417471.569909451,Forecast,Алматы,2025
62,2466032.767999181,2433264.548307437,2500299.4866979076,Forecast,Алматы,2026
63,2543238.1453429544,2498342.3192245467,2587193.4669207055,Forecast,Алматы,2027
64,769848.3570399999,752279.6423928131,785864.9760592027,Historical,Астана,2013
65,812265.9276719443,795375.3494624441,830157.6526267581,Historical,Астана,2014
66,854683.4982658363,837694.1232617646,873007.6462545056,Historical,Астана,2015
67,897102.0134619143,880159.6462402658,914370.4763051019,Historical,Астана,2016
68,958285.312349858,942115.3040887386,976603.0503698516,Historical,Астана,2017
69,1019301.4438114576,1002095.8160422654,1036653.983256353,Historical,Астана,2018
70,1080317.5753703858,1062946.0023314115,1098302.5204850684,Historical,Астана,2019
71,1141338.843841854,1124489.7904131494,1158866.3955017822,Historical,Астана,2020
72,1210313.47715311,1193767.3521718096,1228110.1480501764,Historical,Астана,2021
73,1279099.6551820952,1262445.270053767,1295798.5446565908,Historical,Астана,2022
74,1347885.8332110802,1332002.9264239084,1366240.8343317762,Historical,Астана,2023
75,1416483.555957794,1398896.6959233258,1435275.75340593,Forecast,Астана,2023
76,1485458.1892690503,1466311.1089634162,1504278.9604202851,Forecast,Астана,2024
77,1554244.3672980354,1531551.0944271707,1578684.5396125698,Forecast,Астана,2025
78,1623030.5453270203,1593301.6414468717,1653477.4077790482,Forecast,Астана,2026
79,1691816.7233560053,1654993.9411086747,1731389.129884729,Forecast,Астана,2027
80,561704.00432,559436.3154805048,564153.6091276112,Historical,Атырауская,2013
81,574780.1897604819,572279.16547607,577233.2038687817,Historical,Атырауская,2014
82,587856.3752549349,585540.1848556877,590203.7376236606,Historical,Атырауская,2015
83,600932.5600088001,598586.3696650101,603440.2688836773,Historical,Атырауская,2016
84,614040.6796037634,611768.406921881,616482.8722592456,Historical,Атырауская,2017
85,626435.5136170065,624149.1778774699,628822.4300704575,Historical,Атырауская,2018
86,638798.2275208599,636459.7432016084,641158.0814092768,Historical,Атырауская,2019
87,651160.9413291871,648570.2515213804,653558.2673415705,Historical,Атырауская,2020
88,667234.5468150158,664929.243657297,669602.6748984011,Historical,Атырауская,2021
89,683264.2353459653,680852.3634017205,685561.691036191,Historical,Атырауская,2022
90,699293.9238769145,696948.8639820518,701866.17217666,Historical,Атырауская,2023
91,715279.6954529848,712759.4306737719,717627.7733715357,Forecast,Атырауская,2023
92,731353.3009388135,728682.807017395,734053.1643023051,Forecast,Атырауская,2024
93,747382.9894697629,743859.0915918763,750738.3775738793,Forecast,Атырауская,2025
94,763412.6780007122,758323.1397419588,768013.963547473,Forecast,Атырауская,2026
95,779442.3665316617,773020.547160353,784859.5381904567,Forecast,Атырауская,2027
96,1543913.25286,1313792.9323335234,1773514.2675986923,Historical,Восточно-Казахстанская,2013
97,1488355.3357894851,1257022.5656814398,1735359.533473834,Historical,Восточно-Казахстанская,2014
98,1432797.4187317267,1198629.9159588215,1677803.3121302759,Historical,Восточно-Казахстанская,2015
99,1377239.5016203062,1142423.6197744824,1608412.6313719724,Historical,Восточно-Казахстанская,2016
100,1321529.3710053326,1094192.3770941296,1552711.2103604558,Historical,Восточно-Казахстанская,2017
101,1265971.453822166,1045925.0856770712,1507435.7493951453,Historical,Восточно-Казахстанская,2018
102,1210413.536655172,983783.0910148171,1436665.786759601,Historical,Восточно-Казахстанская,2019
103,1154855.619430073,922202.0699613945,1404454.4374738464,Historical,Восточно-Казахстанская,2020
104,1099145.4886965314,869840.0105000363,1357514.3169914752,Historical,Восточно-Казахстанская,2021
105,1043587.5714349394,801438.2244896132,1267143.3940313072,Historical,Восточно-Казахстанская,2022
106,988029.6541733473,750844.9288666681,1197389.6398412986,Historical,Восточно-Казахстанская,2023
107,932623.9503837046,703958.0062527331,1165973.4117091496,Forecast,Восточно-Казахстанская,2023
108,876913.819650163,638237.5836185539,1106946.7564403135,Forecast,Восточно-Казахстанская,2024
109,821355.9023885708,592236.1278468405,1071335.7618610414,Forecast,Восточно-Казахстанская,2025
110,765797.9851269788,522615.27926831896,997127.2042503462,Forecast,Восточно-Казахстанская,2026
111,710240.0678653867,447111.6127870671,930589.0692865605,Forecast,Восточно-Казахстанская,2027
112,549875.8486840001,543035.7781146993,556279.0934781028,Historical,Жамбылская,2013
113,553596.7893054667,547130.345937412,559998.9692134813,Historical,Жамбылская,2014
114,557317.7299182476,550412.6125218695,563247.9354520048,Historical,Жамбылская,2015
115,561007.9185470078,554527.6082692022,567223.8510920487,Historical,Жамбылская,2016
116,564629.2575808105,557388.8711124433,571076.5114333834,Historical,Жамбылская,2017
117,568238.8631115608,561676.9749481559,574874.656528622,Historical,Жамбылская,2018
118,571848.4686467674,565512.2300662257,578645.0874975069,Historical,Жамбылская,2019
119,575458.074191978,569303.1365141121,581656.2370911276,Historical,Жамбылская,2020
120,588182.540361248,581754.7011773803,594602.4468732737,Historical,Жамбылская,2021
121,600872.240229509,594540.3121098779,607169.6791200151,Historical,Жамбылская,2022
122,613561.9400977701,606883.3681135939,619568.8553597236,Historical,Жамбылская,2023
123,626216.8736650221,619456.8649053258,632453.6302587676,Forecast,Жамбылская,2023
124,638941.3398342921,631700.5210886039,646323.8560742899,Forecast,Жамбылская,2024
125,651631.0397025531,642866.7615771602,660387.3722015636,Forecast,Жамбылская,2025
126,664320.7395708141,654322.7514548122,676647.7082481416,Forecast,Жамбылская,2026
127,677010.4394390751,663873.8604404427,691113.8133171287,Forecast,Жамбылская,2027
128,-157816.099326,-412187.4648420695,94236.15575647079,Historical,Жетысу,2013
129,-100882.69389923522,-361011.73426566715,146354.77099600795,Historical,Жетысу,2014
130,-43949.28836182212,-301647.6004883482,223973.8287436457,Historical,Жетысу,2015
131,12984.116974110577,-237872.61932625252,263737.6356631776,Historical,Жетысу,2016
132,70073.5042150574,-168952.82026841294,329110.6187776289,Historical,Жетысу,2017
133,127006.90946449409,-107440.60602497101,365460.91625927674,Historical,Жетысу,2018
134,183940.3145766794,-61591.776593418406,421311.138717502,Historical,Жетысу,2019
135,240873.71984962604,574.4998520066501,476635.6069020967,Historical,Жетысу,2020
136,297963.1070900243,63162.5006554908,570842.9267909424,Historical,Жетысу,2021
137,354896.51239807165,110337.32115893815,592785.7143090869,Historical,Жетысу,2022
138,411829.9177061191,156318.2182420845,682028.843206398,Historical,Жетысу,2023
139,468607.34108181566,228766.51688401398,711609.2285623574,Forecast,Жетысу,2023
140,525696.728322214,277757.4262546109,774993.1977026262,Forecast,Жетысу,2024
141,582630.1336302614,331130.5864597299,826033.4987049869,Forecast,Жетысу,2025
142,639563.5389383086,388014.3290686129,898337.1879155841,Forecast,Жетысу,2026
143,696496.944246356,440790.68185964506,945678.1484437233,Forecast,Жетысу,2027
144,618208.479911,615035.4683812079,621344.1814500645,Historical,Западно-Казахстанская,2013
145,624168.5777361325,621015.7374987294,627416.9979755878,Historical,Западно-Казахстанская,2014
146,630128.6749152703,627089.5716692057,633160.9822653335,Historical,Западно-Казахстанская,2015
147,636075.4746515711,633009.9465321681,639136.2858585316,Historical,Западно-Казахстанская,2016
148,641268.4867398201,638205.3840896689,644414.9684336153,Historical,Западно-Казахстанская,2017
149,646446.0738401075,643345.1233642546,649845.4987096242,Historical,Западно-Казахстанская,2018
150,651615.8232021286,648383.8016310397,654629.8805593858,Historical,Западно-Казахстанская,2019
